Size,MAPE,% in 10%,Coverage,MAPE_train,% in 10%_train
50,0.27295404507570603,0.7723751001870157,0.9561047288271439,0.00016863110526382685,1.0
51,0.27563383105508205,0.7661768634784932,0.9561047288271439,0.00014346756996418613,1.0
52,0.27856705104577,0.7709858402351055,0.9561047288271439,0.0001236945037893222,1.0
53,0.3064397548226282,0.7687950841570933,0.9561047288271439,0.0001250825035619603,1.0
54,0.2791151420924948,0.7951108736307775,0.9561047288271439,0.000111078139246597,1.0
55,0.2840236518726057,0.7757948169917179,0.9561047288271439,0.00034892262357359927,1.0
56,0.276680238669582,0.7798557306973016,0.9609938551963666,0.00014234290521420616,1.0
57,0.2522736363974174,0.7722949505744057,0.9609938551963666,0.0001579289302170453,1.0
58,0.2519691041931679,0.8081752604862409,0.9609938551963666,0.00015084719903222607,1.0
59,0.2611341397275876,0.7895271172855998,0.9640395404755543,0.0001601663996279206,1.0
60,0.2741719011230706,0.7710659898477157,0.9640395404755543,0.0003292902563154939,1.0
61,0.2732842241427911,0.780710659898477,0.9640395404755543,0.0002259279693788543,1.0
62,0.2521914157554086,0.7966069997328347,0.9640395404755543,0.0003399624638013364,1.0
63,0.24456307745016242,0.8013625434143734,0.9640395404755543,0.0003370669674734607,1.0
64,0.2533137413677961,0.7837296286401283,0.9640395404755543,0.000377206714375433,1.0
65,0.2689683339263683,0.789206518835159,0.9640395404755543,0.0003111021026180144,1.0
66,0.291963431345661,0.8017098584023511,0.9640395404755543,0.0002578643320110854,1.0
67,0.24451710576217134,0.7857333689553834,0.9640395404755543,0.00030707794026291625,1.0
68,0.2472164973298534,0.7946834090301896,0.9640395404755543,0.0003808568272826735,1.0
69,0.2580550620866869,0.7833021640395404,0.9640395404755543,0.00036982660148045634,1.0
70,0.23470400023699298,0.7993588030991183,0.9640395404755543,0.001158297765085355,0.9971428571428571
71,0.21770005470755233,0.8111942292278922,0.9681538872562114,0.001688347969484138,0.9971830985915492
72,0.25164525575058794,0.7918247395137591,0.9681538872562114,0.0006592398926578983,1.0
73,0.24850530197486545,0.7997595511621693,0.9681538872562114,0.0006258264833914389,1.0
74,0.219228257195386,0.7949238578680203,0.9681538872562114,0.0012870879472973355,0.9972972972972973
75,0.20618919600862268,0.8205717339032862,0.9681538872562114,0.0021884596127547057,0.9973333333333333
76,0.21577898826433456,0.8058242051830083,0.9681538872562114,0.00037417830634513965,1.0
77,0.2086007277364031,0.8017632914774244,0.9681538872562114,0.0007210730490197777,1.0
78,0.20256565449614344,0.825220411434678,0.9681538872562114,0.0005450904208150455,1.0
79,0.19326983358939379,0.8122361741918247,0.9700507614213197,0.0007777460393783896,0.9974683544303797
80,0.24042126569526284,0.7951643067058509,0.9700507614213197,0.0009155380399246115,0.9974999999999999
81,0.21844582729427206,0.8087095912369756,0.9700507614213197,0.0011028823229289055,0.9975308641975309
82,0.19484652597388696,0.8017632914774244,0.9700507614213197,0.0009725413059636472,0.9975609756097562
83,0.210926921500866,0.8050494255944429,0.9737643601389259,0.0006804469477332047,1.0
84,0.18965879177866993,0.8111942292278922,0.9737643601389259,0.001823677502961398,0.9976190476190476
85,0.18709193010080555,0.8098316858135186,0.9737643601389259,0.0013109581709583073,0.9976470588235294
86,0.20766436431462537,0.8088431739246593,0.9737643601389259,0.0013105864014911896,0.9976744186046511
87,0.20253783116560903,0.806759283996794,0.9737643601389259,0.001128409486560941,0.9977011494252874
89,0.21837795174094649,0.8073470478226021,0.9737643601389259,0.0013042136709099995,0.997752808988764
90,0.1914798597468432,0.8261020571733904,0.9737643601389259,0.0017492246953483323,0.9977777777777778
91,0.19880320205317709,0.8178733636120759,0.9737643601389259,0.0014772040125526405,0.9956043956043956
92,0.19796668779035514,0.8162169382847984,0.9737643601389259,0.0017442462125996146,0.9956521739130434
93,0.18014514918323815,0.8261287737109271,0.9737643601389259,0.002052732566714135,0.9956989247311828
94,0.17609702197082705,0.830964467005076,0.9756345177664976,0.002509830158262348,0.9957446808510639
96,0.17659295677528603,0.8351589633983435,0.9756345177664976,0.0014215996582360062,0.9958333333333333
97,0.1867961845531577,0.8283195297889394,0.9756345177664976,0.0009703047849007728,1.0
98,0.18352808339876542,0.8267165375367351,0.9756345177664976,0.001333185651110353,0.9959183673469388
99,0.1930531741229715,0.8266096713865883,0.9756345177664976,0.0013685301181694239,0.997979797979798
101,0.1461410994145514,0.8625166978359605,0.9781191557574139,0.0023195076367943475,0.996039603960396
102,0.16446071615720348,0.8496126102057172,0.9781191557574139,0.001754799505191034,0.9980392156862745
103,0.16082744739469235,0.857306973016297,0.9781191557574139,0.002393614905941985,0.9980582524271846
105,0.18095751229759327,0.8443761688485172,0.9803633449104996,0.0017421584851090182,0.9980952380952381
106,0.15762750636976722,0.8641196900881646,0.9803633449104996,0.002435901415188542,0.9962264150943396
107,0.17183730881948373,0.8513759016831418,0.9803633449104996,0.0022562570821926175,0.994392523364486
109,0.17452580565311765,0.8451776649746193,0.9803633449104996,0.0018525130043185651,0.9944954128440366
110,0.17352695685737438,0.8361741918247395,0.9803633449104996,0.0018297470065749173,0.9981818181818183
112,0.20166413922473528,0.8360940422121292,0.9803633449104996,0.0017038558940011272,0.9982142857142857
113,0.18567912624434393,0.8373764360138927,0.9803633449104996,0.001893872924339578,0.9964601769911503
115,0.17931669284094406,0.8524178466470745,0.9803633449104996,0.001691264971444269,0.9982608695652175
116,0.1729937346015856,0.8331819396206251,0.9803633449104996,0.0023383040265860674,0.9965517241379309
117,0.17737555021228488,0.8417579481699173,0.9803633449104996,0.0022199756835285466,0.9931623931623932
119,0.17114162130350705,0.8420518300828214,0.9803633449104996,0.0031233922883977237,0.9949579831932773
121,0.16996068580700469,0.8426128773710928,0.9803633449104996,0.0030008969936773156,0.9933884297520661
122,0.18219564061534071,0.8550093507881378,0.9803633449104996,0.0024094100176637297,0.9950819672131148
124,0.1843926383758177,0.8309644670050762,0.9803633449104996,0.0024373633071980696,0.9951612903225806
125,0.17690898580244088,0.8404221212930804,0.9803633449104996,0.0031646363909781728,0.9952
127,0.15631670478704493,0.8395137590168315,0.9803633449104996,0.0029770860474693755,0.9952755905511811
129,0.17996847711138936,0.8312316323804435,0.9803633449104996,0.0021991020625069854,0.9968992248062015
130,0.15506146304220372,0.8371894202511356,0.9855196366550896,0.0035092050835563576,0.9953846153846154
132,0.16467328768827133,0.852872027785199,0.9855196366550896,0.003650332916518771,0.9939393939393939
134,0.16854091320246353,0.8295217739780923,0.9855196366550896,0.004195897022329789,0.991044776119403
135,0.15861319326343798,0.8459257280256478,0.9855196366550896,0.0035248731561897976,0.9925925925925926
137,0.15286699454126768,0.8573604060913705,0.9855196366550896,0.0030919984839187014,0.9956204379562044
139,0.16916900042252386,0.849746192893401,0.9885386053967405,0.003145145701852135,0.9928057553956835
141,0.1636659006431102,0.8592305637189419,0.9885386053967405,0.0032031089897096195,0.9943262411347517
143,0.15612843914069593,0.8732033128506546,0.9885386053967405,0.0040485633064322665,0.993006993006993
144,0.17035892299921143,0.8552497996259685,0.9885386053967405,0.003118793483733542,0.9944444444444445
146,0.1559741179299013,0.8606999732834625,0.9885386053967405,0.0028292989161719812,0.9958904109589041
148,0.16173140480127174,0.8545818861875502,0.9885386053967405,0.003348513534416061,0.9918918918918918
150,0.13542830946545834,0.8720277851990381,0.9885386053967405,0.0043128737397743495,0.992
152,0.15800968504186172,0.8512957520705315,0.9885386053967405,0.0038784012882945836,0.993421052631579
154,0.13658336465627868,0.8596045952444562,0.9885386053967405,0.004495294490993948,0.9935064935064934
156,0.15285024676380118,0.8673523911301094,0.9885386053967405,0.003563441273748505,0.9923076923076923
158,0.14368495852509228,0.8583222014426932,0.9885386053967405,0.00399398795396041,0.9936708860759493
160,0.14053761065684267,0.8642532727758482,0.9885386053967405,0.00426453192744526,0.99375
162,0.14574441118114378,0.8451776649746193,0.9885386053967405,0.004602931911741335,0.9938271604938272
164,0.1528956379887142,0.8531391931605665,0.9885386053967405,0.00419971973910995,0.9951219512195122
166,0.15258229070335688,0.8653219342773177,0.9885386053967405,0.004183239577022593,0.9951807228915662
168,0.15521555144874638,0.8451242318995458,0.9885386053967405,0.004708535814420793,0.9916666666666668
171,0.1527611106302132,0.8597648944696769,0.9885386053967405,0.004493662505240829,0.9906432748538011
173,0.15673821708824787,0.8537002404488379,0.9885386053967405,0.004073124823782396,0.9919075144508671
175,0.15849504939885622,0.857734437616885,0.9885386053967405,0.003984964622103489,0.9908571428571429
177,0.15068517281127142,0.858829815655891,0.9885386053967405,0.004338794033008929,0.9943502824858758
180,0.13590178141085366,0.8631846112743787,0.9885386053967405,0.004648814008269702,0.9944444444444445
182,0.13146639270619637,0.8714133048356933,0.9885386053967405,0.004321239293857587,0.9945054945054945
184,0.1509433374984279,0.8559177130643869,0.9885386053967405,0.0036533372975008,0.9945652173913043
187,0.14853064195837434,0.8632113278119155,0.9885386053967405,0.004762878104748672,0.9925133689839573
189,0.1409099842483744,0.8718407694362812,0.9885386053967405,0.004483890085454812,0.9904761904761905
192,0.13354575764578352,0.8688752337697034,0.9885386053967405,0.004713641166355559,0.9927083333333332
194,0.14711516921005954,0.852578145872295,0.9885386053967405,0.00481453586292486,0.9927835051546392
