name,life_time,category,uuid,type,rank,position,loc1,loc1_type,loc2,loc2_type,loc3,loc3_type,config,inventory,details
container,,CAT_CONTAINER,container0,,container0,,0,CAT_CONTAINER,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""container0""}","{""macro"":{""container_id"":""container0"",""cpu"":{""limit"":0,""max_limit"":0},""finish_time"":""2025-11-24T08:24:20.385790132+08:00"",""has_cpu"":false,""image"":""image0"",""ip"":"""",""is_sandbox"":false,""labels"":{},""pid"":3406712,""quota_id"":"""",""runtime"":""nvidia"",""start_time"":""2025-11-25T09:15:56.621796454+08:00"",""status"":""running""}}",
CPU0,,CAT_CPU,CPU0,,0,CPU0,0,CAT_CPU,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""0""}","{""macro"":{""cache_size"":8305,""cores"":32,""current_speed"":2900,""family"":179,""freq"":""4000 MHz"",""model"":""Intel(R) Xeon(R) Platinum 8369B CPU @ 2.90GHz"",""power"":""1.6"",""serial"":""*******"",""status"":65,""threads"":64,""vendor"":""Intel(R) Corporation""}}",
CPU1,,CAT_CPU,CPU1,,1,CPU1,1,CAT_CPU,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""1""}","{""macro"":{""cache_size"":8313,""cores"":32,""current_speed"":2900,""family"":179,""freq"":""4000 MHz"",""model"":""Intel(R) Xeon(R) Platinum 8369B CPU @ 2.90GHz"",""power"":""1.6"",""serial"":""*******"",""status"":65,""threads"":64,""vendor"":""Intel(R) Corporation""}}",
DIMM041,,CAT_MEMORY,DIMM041,,9,,9,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""9""}","{""macro"":{""bank_locator"":""CPU0 IMC2"",""config_speed"":0,""config_voltage"":0,""locator"":""DIMM041"",""manufacturer"":""REDACTED"",""maxnum_voltage"":0,""minnum_voltage"":0,""part_number"":""** ****"",""serial"":""*******"",""size"":0,""sku_number"":"""",""total_width"":0,""type"":""Unknown"",""type_detail"":""Unknown"",""uuid"":""""}}",
DIMM050,,CAT_MEMORY,DIMM050,,10,,10,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""10""}","{""macro"":{""bank_locator"":""CPU0 IMC2"",""config_speed"":3200,""config_voltage"":1200,""locator"":""DIMM050"",""manufacturer"":""REDACTED"",""maxnum_voltage"":1200,""minnum_voltage"":1200,""part_number"":""****************"",""serial"":""*******************"",""size"":32767,""sku_number"":"""",""total_width"":72,""type"":""DDR4"",""type_detail"":""Synchronous,Registered (Buffered)"",""uuid"":""""}}",
DIMM051,,CAT_MEMORY,DIMM051,,11,,11,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""11""}","{""macro"":{""bank_locator"":""CPU0 IMC2"",""config_speed"":0,""config_voltage"":0,""locator"":""DIMM051"",""manufacturer"":""REDACTED"",""maxnum_voltage"":0,""minnum_voltage"":0,""part_number"":""** ****"",""serial"":""*******"",""size"":0,""sku_number"":"""",""total_width"":0,""type"":""Unknown"",""type_detail"":""Unknown"",""uuid"":""""}}",
DIMM060,,CAT_MEMORY,DIMM060,,12,,12,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""12""}","{""macro"":{""bank_locator"":""CPU0 IMC3"",""config_speed"":3200,""config_voltage"":1200,""locator"":""DIMM060"",""manufacturer"":""REDACTED"",""maxnum_voltage"":1200,""minnum_voltage"":1200,""part_number"":""****************"",""serial"":""*******************"",""size"":32767,""sku_number"":"""",""total_width"":72,""type"":""DDR4"",""type_detail"":""Synchronous,Registered (Buffered)"",""uuid"":""""}}",
DIMM061,,CAT_MEMORY,DIMM061,,13,,13,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""13""}","{""macro"":{""bank_locator"":""CPU0 IMC3"",""config_speed"":0,""config_voltage"":0,""locator"":""DIMM061"",""manufacturer"":""REDACTED"",""maxnum_voltage"":0,""minnum_voltage"":0,""part_number"":""** ****"",""serial"":""*******"",""size"":0,""sku_number"":"""",""total_width"":0,""type"":""Unknown"",""type_detail"":""Unknown"",""uuid"":""""}}",
DIMM070,,CAT_MEMORY,DIMM070,,14,,14,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""14""}","{""macro"":{""bank_locator"":""CPU0 IMC3"",""config_speed"":3200,""config_voltage"":1200,""locator"":""DIMM070"",""manufacturer"":""REDACTED"",""maxnum_voltage"":1200,""minnum_voltage"":1200,""part_number"":""****************"",""serial"":""*******************"",""size"":32767,""sku_number"":"""",""total_width"":72,""type"":""DDR4"",""type_detail"":""Synchronous,Registered (Buffered)"",""uuid"":""""}}",
DIMM071,,CAT_MEMORY,DIMM071,,15,,15,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""15""}","{""macro"":{""bank_locator"":""CPU0 IMC3"",""config_speed"":0,""config_voltage"":0,""locator"":""DIMM071"",""manufacturer"":""REDACTED"",""maxnum_voltage"":0,""minnum_voltage"":0,""part_number"":""** ****"",""serial"":""*******"",""size"":0,""sku_number"":"""",""total_width"":0,""type"":""Unknown"",""type_detail"":""Unknown"",""uuid"":""""}}",
DIMM100,,CAT_MEMORY,DIMM100,,16,,16,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""16""}","{""macro"":{""bank_locator"":""CPU1 IMC0"",""config_speed"":3200,""config_voltage"":1200,""locator"":""DIMM100"",""manufacturer"":""REDACTED"",""maxnum_voltage"":1200,""minnum_voltage"":1200,""part_number"":""****************"",""serial"":""*******************"",""size"":32767,""sku_number"":"""",""total_width"":72,""type"":""DDR4"",""type_detail"":""Synchronous,Registered (Buffered)"",""uuid"":""""}}",
DIMM101,,CAT_MEMORY,DIMM101,,17,,17,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""17""}","{""macro"":{""bank_locator"":""CPU1 IMC0"",""config_speed"":0,""config_voltage"":0,""locator"":""DIMM101"",""manufacturer"":""REDACTED"",""maxnum_voltage"":0,""minnum_voltage"":0,""part_number"":""** ****"",""serial"":""*******"",""size"":0,""sku_number"":"""",""total_width"":0,""type"":""Unknown"",""type_detail"":""Unknown"",""uuid"":""""}}",
DIMM110,,CAT_MEMORY,DIMM110,,18,,18,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""18""}","{""macro"":{""bank_locator"":""CPU1 IMC0"",""config_speed"":3200,""config_voltage"":1200,""locator"":""DIMM110"",""manufacturer"":""REDACTED"",""maxnum_voltage"":1200,""minnum_voltage"":1200,""part_number"":""****************"",""serial"":""*******************"",""size"":32767,""sku_number"":"""",""total_width"":72,""type"":""DDR4"",""type_detail"":""Synchronous,Registered (Buffered)"",""uuid"":""""}}",
DIMM111,,CAT_MEMORY,DIMM111,,19,,19,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""19""}","{""macro"":{""bank_locator"":""CPU1 IMC0"",""config_speed"":0,""config_voltage"":0,""locator"":""DIMM111"",""manufacturer"":""REDACTED"",""maxnum_voltage"":0,""minnum_voltage"":0,""part_number"":""** ****"",""serial"":""*******"",""size"":0,""sku_number"":"""",""total_width"":0,""type"":""Unknown"",""type_detail"":""Unknown"",""uuid"":""""}}",
DIMM120,,CAT_MEMORY,DIMM120,,20,,20,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""20""}","{""macro"":{""bank_locator"":""CPU1 IMC1"",""config_speed"":3200,""config_voltage"":1200,""locator"":""DIMM120"",""manufacturer"":""REDACTED"",""maxnum_voltage"":1200,""minnum_voltage"":1200,""part_number"":""****************"",""serial"":""*******************"",""size"":32767,""sku_number"":"""",""total_width"":72,""type"":""DDR4"",""type_detail"":""Synchronous,Registered (Buffered)"",""uuid"":""""}}",
DIMM121,,CAT_MEMORY,DIMM121,,21,,21,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""21""}","{""macro"":{""bank_locator"":""CPU1 IMC1"",""config_speed"":0,""config_voltage"":0,""locator"":""DIMM121"",""manufacturer"":""REDACTED"",""maxnum_voltage"":0,""minnum_voltage"":0,""part_number"":""** ****"",""serial"":""*******"",""size"":0,""sku_number"":"""",""total_width"":0,""type"":""Unknown"",""type_detail"":""Unknown"",""uuid"":""""}}",
DIMM130,,CAT_MEMORY,DIMM130,,22,,22,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""22""}","{""macro"":{""bank_locator"":""CPU1 IMC1"",""config_speed"":3200,""config_voltage"":1200,""locator"":""DIMM130"",""manufacturer"":""REDACTED"",""maxnum_voltage"":1200,""minnum_voltage"":1200,""part_number"":""****************"",""serial"":""*******************"",""size"":32767,""sku_number"":"""",""total_width"":72,""type"":""DDR4"",""type_detail"":""Synchronous,Registered (Buffered)"",""uuid"":""""}}",
DIMM131,,CAT_MEMORY,DIMM131,,23,,23,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""23""}","{""macro"":{""bank_locator"":""CPU1 IMC1"",""config_speed"":0,""config_voltage"":0,""locator"":""DIMM131"",""manufacturer"":""REDACTED"",""maxnum_voltage"":0,""minnum_voltage"":0,""part_number"":""** ****"",""serial"":""*******"",""size"":0,""sku_number"":"""",""total_width"":0,""type"":""Unknown"",""type_detail"":""Unknown"",""uuid"":""""}}",
DIMM140,,CAT_MEMORY,DIMM140,,24,,24,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""24""}","{""macro"":{""bank_locator"":""CPU1 IMC2"",""config_speed"":3200,""config_voltage"":1200,""locator"":""DIMM140"",""manufacturer"":""REDACTED"",""maxnum_voltage"":1200,""minnum_voltage"":1200,""part_number"":""****************"",""serial"":""*******************"",""size"":32767,""sku_number"":"""",""total_width"":72,""type"":""DDR4"",""type_detail"":""Synchronous,Registered (Buffered)"",""uuid"":""""}}",
DIMM141,,CAT_MEMORY,DIMM141,,25,,25,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""25""}","{""macro"":{""bank_locator"":""CPU1 IMC2"",""config_speed"":0,""config_voltage"":0,""locator"":""DIMM141"",""manufacturer"":""REDACTED"",""maxnum_voltage"":0,""minnum_voltage"":0,""part_number"":""** ****"",""serial"":""*******"",""size"":0,""sku_number"":"""",""total_width"":0,""type"":""Unknown"",""type_detail"":""Unknown"",""uuid"":""""}}",
DIMM150,,CAT_MEMORY,DIMM150,,26,,26,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""26""}","{""macro"":{""bank_locator"":""CPU1 IMC2"",""config_speed"":3200,""config_voltage"":1200,""locator"":""DIMM150"",""manufacturer"":""REDACTED"",""maxnum_voltage"":1200,""minnum_voltage"":1200,""part_number"":""****************"",""serial"":""*******************"",""size"":32767,""sku_number"":"""",""total_width"":72,""type"":""DDR4"",""type_detail"":""Synchronous,Registered (Buffered)"",""uuid"":""""}}",
DIMM151,,CAT_MEMORY,DIMM151,,27,,27,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""27""}","{""macro"":{""bank_locator"":""CPU1 IMC2"",""config_speed"":0,""config_voltage"":0,""locator"":""DIMM151"",""manufacturer"":""REDACTED"",""maxnum_voltage"":0,""minnum_voltage"":0,""part_number"":""** ****"",""serial"":""*******"",""size"":0,""sku_number"":"""",""total_width"":0,""type"":""Unknown"",""type_detail"":""Unknown"",""uuid"":""""}}",
DIMM160,,CAT_MEMORY,DIMM160,,28,,28,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""28""}","{""macro"":{""bank_locator"":""CPU1 IMC3"",""config_speed"":3200,""config_voltage"":1200,""locator"":""DIMM160"",""manufacturer"":""REDACTED"",""maxnum_voltage"":1200,""minnum_voltage"":1200,""part_number"":""****************"",""serial"":""*******************"",""size"":32767,""sku_number"":"""",""total_width"":72,""type"":""DDR4"",""type_detail"":""Synchronous,Registered (Buffered)"",""uuid"":""""}}",
DIMM161,,CAT_MEMORY,DIMM161,,29,,29,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""29""}","{""macro"":{""bank_locator"":""CPU1 IMC3"",""config_speed"":0,""config_voltage"":0,""locator"":""DIMM161"",""manufacturer"":""REDACTED"",""maxnum_voltage"":0,""minnum_voltage"":0,""part_number"":""** ****"",""serial"":""*******"",""size"":0,""sku_number"":"""",""total_width"":0,""type"":""Unknown"",""type_detail"":""Unknown"",""uuid"":""""}}",
DIMM170,,CAT_MEMORY,DIMM170,,30,,30,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""30""}","{""macro"":{""bank_locator"":""CPU1 IMC3"",""config_speed"":3200,""config_voltage"":1200,""locator"":""DIMM170"",""manufacturer"":""REDACTED"",""maxnum_voltage"":1200,""minnum_voltage"":1200,""part_number"":""****************"",""serial"":""*******************"",""size"":32767,""sku_number"":"""",""total_width"":72,""type"":""DDR4"",""type_detail"":""Synchronous,Registered (Buffered)"",""uuid"":""""}}",
DIMM171,,CAT_MEMORY,DIMM171,,31,,31,CAT_MEMORY,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""31""}","{""macro"":{""bank_locator"":""CPU1 IMC3"",""config_speed"":0,""config_voltage"":0,""locator"":""DIMM171"",""manufacturer"":""REDACTED"",""maxnum_voltage"":0,""minnum_voltage"":0,""part_number"":""** ****"",""serial"":""*******"",""size"":0,""sku_number"":"""",""total_width"":0,""type"":""Unknown"",""type_detail"":""Unknown"",""uuid"":""""}}",
pcieswitch_0,,CAT_PCIE,pcieswitch_0,,,pcieswitch_0,,,,,,,{},{},
pcieswitch_1,,CAT_PCIE,pcieswitch_1,,,pcieswitch_1,,,,,,,{},{},
host0,,CAT_HOST,********-****-****-****-************,,0,host0,0,CAT_HOST,,,,,"{""index"":""0""}","{""macro"":{""family"":""Family"",""kernel"":""5.10.134-*****.x86_64"",""model"":""0"",""product_name"":""**************************"",""serial"":""*********"",""sku_number"":""Default string"",""uuid"":""************************************"",""vendor"":""******""}}",
