counter_name,timestamp,value,hostname
container_cpu_usage,1762935811022609.000000,249.269000,
container_cpu_usage,1762935812025646.750000,249.645000,
container_cpu_usage,1762935813020894.500000,250.862000,
container_cpu_usage,1762935814033169.750000,252.190000,
container_cpu_usage,1762935815030195.000000,252.275000,
container_cpu_usage,1762935815030422.250000,252.111000,
container_gpu_mem_usage,1762935807340498.000000,85.265000,
container_gpu_mem_usage,1762935807340498.000000,1.071000,
container_gpu_mem_usage,1762935807340498.000000,85.705000,
container_gpu_mem_usage,1762935808363190.500000,85.504000,
container_gpu_mem_usage,1762935808363190.500000,1.071000,
container_gpu_mem_usage,1762935808363190.500000,85.705000,
container_gpu_mem_usage,1762935809255957.250000,86.070000,
container_gpu_mem_usage,1762935809255957.250000,1.071000,
container_gpu_mem_usage,1762935809255957.250000,85.705000,
container_gpu_mem_usage,1762935810175155.000000,1.071000,
container_gpu_mem_usage,1762935810175155.000000,85.705000,
container_gpu_mem_usage,1762935810175155.000000,86.070000,
container_gpu_mem_usage,1762935811394892.500000,1.071000,
container_gpu_mem_usage,1762935811394892.500000,86.070000,
container_gpu_mem_usage,1762935811394892.500000,85.705000,
container_gpu_mem_usage,1762935812670107.000000,86.070000,
container_gpu_mem_usage,1762935812670107.000000,1.071000,
container_gpu_mem_usage,1762935812670107.000000,85.705000,
container_gpu_mem_usage,1762935813768977.750000,86.070000,
container_gpu_mem_usage,1762935813768977.750000,1.071000,
container_gpu_mem_usage,1762935813768977.750000,85.705000,
container_gpu_mem_usage,1762935814305128.500000,1.071000,
container_gpu_mem_usage,1762935814305128.500000,85.705000,
container_gpu_mem_usage,1762935815282964.500000,1.071000,
container_gpu_mem_usage,1762935815282964.500000,85.705000,
container_gpu_usage,1762935807340498.000000,0.000000,
container_gpu_usage,1762935807340498.000000,40.000000,
container_gpu_usage,1762935807340498.000000,5.000000,
container_gpu_usage,1762935808363190.500000,22.000000,
container_gpu_usage,1762935808363190.500000,0.000000,
container_gpu_usage,1762935808363190.500000,6.000000,
container_gpu_usage,1762935809255957.250000,5.000000,
container_gpu_usage,1762935809255957.250000,0.000000,
container_gpu_usage,1762935809255957.250000,6.000000,
container_gpu_usage,1762935810175155.000000,100.000000,
container_gpu_usage,1762935810175155.000000,0.000000,
container_gpu_usage,1762935810175155.000000,6.000000,
container_gpu_usage,1762935811394892.500000,0.000000,
container_gpu_usage,1762935811394892.500000,7.000000,
container_gpu_usage,1762935812670107.000000,0.000000,
container_gpu_usage,1762935812670107.000000,6.000000,
container_gpu_usage,1762935813768977.750000,0.000000,
container_gpu_usage,1762935813768977.750000,6.000000,
container_gpu_usage,1762935814305128.500000,100.000000,
container_gpu_usage,1762935814305128.500000,0.000000,
container_gpu_usage,1762935814305128.500000,7.000000,
container_gpu_usage,1762935815282964.500000,0.000000,
container_gpu_usage,1762935815282964.500000,7.000000,
container_gpu_usage,1762935815282964.500000,100.000000,
container_mem_usage,1762935811022609.000000,6.540000,
container_mem_usage,1762935812025646.750000,6.544000,
container_mem_usage,1762935813020894.500000,6.546000,
container_mem_usage,1762935814033169.750000,6.550000,
container_mem_usage,1762935815030195.000000,6.554000,
container_mem_usage,1762935815030422.250000,6.554000,
container_mem_used,1762935811022609.000000,70695489536.000000,
container_mem_used,1762935812025646.750000,70737993728.000000,
container_mem_used,1762935813020894.500000,70759460864.000000,
container_mem_used,1762935814033169.750000,70806183936.000000,
container_mem_used,1762935815030195.000000,70846337024.000000,
container_mem_used,1762935815030422.250000,70846337024.000000,
cpu_frequency,1762935807217463.250000,3500.006000,
cpu_frequency,1762935807217463.250000,3500.000000,
cpu_frequency,1762935807217463.250000,3500.653000,
cpu_frequency,1762935807217463.250000,3500.020000,
cpu_frequency,1762935807217463.250000,3498.429000,
cpu_frequency,1762935807217463.250000,3492.904000,
cpu_frequency,1762935807217463.250000,3499.617000,
cpu_frequency,1762935807217463.250000,3499.970000,
cpu_frequency,1762935807217463.250000,3499.954000,
cpu_frequency,1762935807217463.250000,3500.004000,
cpu_frequency,1762935807217463.250000,3499.927000,
cpu_frequency,1762935807217463.250000,3500.179000,
cpu_frequency,1762935807217463.250000,3500.102000,
cpu_frequency,1762935807217463.250000,3499.535000,
cpu_frequency,1762935807217463.250000,3500.025000,
cpu_frequency,1762935807217463.250000,3499.999000,
cpu_frequency,1762935807217463.250000,3499.776000,
cpu_frequency,1762935807217463.250000,3499.957000,
cpu_frequency,1762935807217463.250000,3500.002000,
cpu_frequency,1762935807217463.250000,3499.870000,
cpu_frequency,1762935807217463.250000,3499.443000,
cpu_frequency,1762935807217463.250000,3500.001000,
cpu_frequency,1762935807217463.250000,3499.951000,
cpu_frequency,1762935807217463.250000,3499.982000,
cpu_frequency,1762935807217463.250000,3499.993000,
cpu_frequency,1762935807217463.250000,3499.972000,
cpu_frequency,1762935807217463.250000,3500.003000,
cpu_frequency,1762935807217463.250000,3499.923000,
cpu_frequency,1762935807217463.250000,3505.359000,
cpu_frequency,1762935807217463.250000,3507.510000,
cpu_frequency,1762935807217463.250000,3505.520000,
cpu_frequency,1762935807217463.250000,3500.655000,
cpu_frequency,1762935807217463.250000,3499.693000,
cpu_frequency,1762935807217463.250000,3499.829000,
cpu_frequency,1762935807217463.250000,3499.659000,
cpu_frequency,1762935807217463.250000,3500.280000,
cpu_frequency,1762935807217463.250000,3490.909000,
cpu_frequency,1762935807217463.250000,3499.857000,
cpu_frequency,1762935807217463.250000,3499.112000,
cpu_frequency,1762935807217463.250000,3499.966000,
cpu_frequency,1762935807217463.250000,3499.937000,
cpu_frequency,1762935807217463.250000,3499.922000,
cpu_frequency,1762935807217463.250000,3493.682000,
cpu_frequency,1762935807217463.250000,3499.906000,
cpu_frequency,1762935807217463.250000,3499.983000,
cpu_frequency,1762935807217463.250000,3499.925000,
cpu_frequency,1762935807217463.250000,3500.036000,
cpu_frequency,1762935807217463.250000,3500.122000,
cpu_frequency,1762935807217463.250000,3499.886000,
cpu_frequency,1762935807217463.250000,3500.084000,
cpu_frequency,1762935807217463.250000,3499.901000,
cpu_frequency,1762935807217463.250000,3499.420000,
cpu_frequency,1762935807217463.250000,3500.297000,
cpu_frequency,1762935807217463.250000,3509.459000,
cpu_frequency,1762935808213373.500000,3500.000000,
cpu_frequency,1762935808213373.500000,3500.366000,
cpu_frequency,1762935808213373.500000,3499.949000,
cpu_frequency,1762935808213373.500000,3499.972000,
cpu_frequency,1762935808213373.500000,3500.002000,
cpu_frequency,1762935808213373.500000,3499.993000,
cpu_frequency,1762935808213373.500000,3500.792000,
cpu_frequency,1762935808213373.500000,3499.971000,
cpu_frequency,1762935808213373.500000,3499.962000,
cpu_frequency,1762935808213373.500000,3500.091000,
cpu_frequency,1762935808213373.500000,3500.206000,
cpu_frequency,1762935808213373.500000,3500.752000,
cpu_frequency,1762935808213373.500000,3489.617000,
cpu_frequency,1762935808213373.500000,3499.990000,
cpu_frequency,1762935808213373.500000,3500.031000,
cpu_frequency,1762935808213373.500000,3500.019000,
cpu_frequency,1762935808213373.500000,3499.862000,
cpu_frequency,1762935808213373.500000,3499.996000,
cpu_frequency,1762935808213373.500000,3500.004000,
cpu_frequency,1762935808213373.500000,3500.186000,
cpu_frequency,1762935808213373.500000,3499.973000,
cpu_frequency,1762935808213373.500000,3500.058000,
cpu_frequency,1762935808213373.500000,3498.685000,
cpu_frequency,1762935808213373.500000,3499.959000,
cpu_frequency,1762935808213373.500000,3499.554000,
cpu_frequency,1762935808213373.500000,3499.997000,
cpu_frequency,1762935808213373.500000,3500.076000,
cpu_frequency,1762935808213373.500000,3500.142000,
cpu_frequency,1762935808213373.500000,3499.966000,
cpu_frequency,1762935808213373.500000,3499.497000,
cpu_frequency,1762935808213373.500000,3500.003000,
cpu_frequency,1762935808213373.500000,3500.025000,
cpu_frequency,1762935808213373.500000,3500.001000,
cpu_frequency,1762935808213373.500000,3499.998000,
cpu_frequency,1762935808213373.500000,3499.312000,
cpu_frequency,1762935808213373.500000,3499.988000,
cpu_frequency,1762935808213373.500000,3500.011000,
cpu_frequency,1762935808213373.500000,3500.010000,
cpu_frequency,1762935808213373.500000,3499.991000,
cpu_frequency,1762935808213373.500000,3499.936000,
cpu_frequency,1762935808213373.500000,3499.987000,
cpu_frequency,1762935808213373.500000,3499.985000,
cpu_frequency,1762935808213373.500000,3500.013000,
cpu_frequency,1762935808213373.500000,3498.569000,
cpu_frequency,1762935808213373.500000,3499.999000,
cpu_frequency,1762935808213373.500000,3500.667000,
cpu_frequency,1762935808213373.500000,3499.890000,
cpu_frequency,1762935808213373.500000,3499.942000,
cpu_frequency,1762935808213373.500000,3499.984000,
cpu_frequency,1762935808213373.500000,3499.938000,
cpu_frequency,1762935808213373.500000,3500.020000,
cpu_frequency,1762935809224156.250000,3500.005000,
cpu_frequency,1762935809224156.250000,3500.082000,
cpu_frequency,1762935809224156.250000,3500.000000,
cpu_frequency,1762935809224156.250000,3499.900000,
cpu_frequency,1762935809224156.250000,3499.836000,
cpu_frequency,1762935809224156.250000,3498.559000,
cpu_frequency,1762935809224156.250000,3499.911000,
cpu_frequency,1762935809224156.250000,3500.002000,
cpu_frequency,1762935809224156.250000,3500.220000,
cpu_frequency,1762935809224156.250000,3499.996000,
cpu_frequency,1762935809224156.250000,3496.085000,
cpu_frequency,1762935809224156.250000,3500.106000,
cpu_frequency,1762935809224156.250000,3499.994000,
cpu_frequency,1762935809224156.250000,3499.931000,
cpu_frequency,1762935809224156.250000,3500.003000,
cpu_frequency,1762935809224156.250000,3499.995000,
cpu_frequency,1762935809224156.250000,3499.867000,
cpu_frequency,1762935809224156.250000,3500.123000,
cpu_frequency,1762935809224156.250000,3500.012000,
cpu_frequency,1762935809224156.250000,3499.917000,
cpu_frequency,1762935809224156.250000,3499.914000,
cpu_frequency,1762935809224156.250000,3500.043000,
cpu_frequency,1762935809224156.250000,3499.875000,
cpu_frequency,1762935809224156.250000,3500.063000,
cpu_frequency,1762935809224156.250000,3499.992000,
cpu_frequency,1762935809224156.250000,3500.015000,
cpu_frequency,1762935809224156.250000,3499.974000,
cpu_frequency,1762935809224156.250000,3500.075000,
cpu_frequency,1762935809224156.250000,3500.058000,
